ANNEE_NAISSANCE;MNAISS;CODCOM;LBCOM;SEXE;PRN;NBR
2008;;35238;RENNES;FEMME;Mila;7
2008;;35238;RENNES;FEMME;Nina;7
2008;;35238;RENNES;FEMME;Olivia;7
2008;;35238;RENNES;FEMME;Yuna;7
2008;;35238;RENNES;FEMME;Agathe;6
2008;;35238;RENNES;FEMME;Alexia;6
2008;;35238;RENNES;FEMME;Amélie;6
2008;;35238;RENNES;FEMME;Anaé;6
2008;;35238;RENNES;FEMME;Andréa;6
2008;;35238;RENNES;FEMME;Bertille;6
2008;;35238;RENNES;FEMME;Clémentine;6
2008;;35238;RENNES;FEMME;Julia;6
2008;;35238;RENNES;FEMME;Lana;6
2008;;35238;RENNES;FEMME;Lison;6
2008;;35238;RENNES;FEMME;Lou-Ann;6
2008;;35238;RENNES;FEMME;Louanne;6
2008;;35238;RENNES;FEMME;Marine;6
2008;;35238;RENNES;FEMME;Nora;6
2008;;35238;RENNES;FEMME;Thaïs;6
2008;;35238;RENNES;HOMME;Enzo;47
2008;;35238;RENNES;HOMME;Mathis;44
2008;;35238;RENNES;HOMME;Louis;41
2008;;35238;RENNES;HOMME;Arthur;40
2008;;35238;RENNES;HOMME;Lucas;38
2008;;35238;RENNES;HOMME;Paul;38
2008;;35238;RENNES;HOMME;Yanis;36
2008;;35238;RENNES;HOMME;Clément;35
2008;;35238;RENNES;HOMME;Nathan;35
2008;;35238;RENNES;HOMME;Ethan;34
2008;;35238;RENNES;HOMME;Thomas;33
2008;;35238;RENNES;HOMME;Tom;33
2008;;35238;RENNES;HOMME;Antoine;31
2008;;35238;RENNES;HOMME;Jules;31
2008;;35238;RENNES;HOMME;Raphaël;30
2008;;35238;RENNES;HOMME;Titouan;30
2008;;35238;RENNES;HOMME;Hugo;28
2008;;35238;RENNES;HOMME;Maël;28
2008;;35238;RENNES;HOMME;Ewen;26
2008;;35238;RENNES;HOMME;Noé;26
2008;;35238;RENNES;HOMME;Baptiste;25
2008;;35238;RENNES;HOMME;Evan;25
2008;;35238;RENNES;HOMME;Gabriel;25
2008;;35238;RENNES;HOMME;Axel;24
2008;;35238;RENNES;HOMME;Noah;24
2008;;35238;RENNES;HOMME;Maxime;23
2008;;35238;RENNES;HOMME;Sacha;22
2008;;35238;RENNES;HOMME;Léo;20
2008;;35238;RENNES;HOMME;Malo;20
2008;;35238;RENNES;HOMME;Mathéo;20
2008;;35238;RENNES;HOMME;Alexis;19
2008;;35238;RENNES;HOMME;Gabin;19
2008;;35238;RENNES;HOMME;Martin;19
2008;;35238;RENNES;HOMME;Noa;19
2008;;35238;RENNES;HOMME;Romain;19
2008;;35238;RENNES;HOMME;Timéo;19
2008;;35238;RENNES;HOMME;Victor;19
2008;;35238;RENNES;HOMME;Esteban;18
2008;;35238;RENNES;HOMME;Nolan;18
2008;;35238;RENNES;HOMME;Simon;18
2008;;35238;RENNES;HOMME;Valentin;18
2008;;35238;RENNES;HOMME;Alexandre;16
2008;;35238;RENNES;HOMME;Kilian;16
2008;;35238;RENNES;HOMME;Théo;16
2008;;35238;RENNES;HOMME;Erwan;15
2008;;35238;RENNES;HOMME;Ilan;15
2008;;35238;RENNES;HOMME;Marius;15
2008;;35238;RENNES;HOMME;Mattéo;15
2008;;35238;RENNES;HOMME;Oscar;15
2008;;35238;RENNES;HOMME;Eliott;14
2008;;35238;RENNES;HOMME;Elouan;14
2008;;35238;RENNES;HOMME;Tristan;14
2008;;35238;RENNES;HOMME;Corentin;13
2008;;35238;RENNES;HOMME;Gaspard;13
2008;;35238;RENNES;HOMME;Liam;13
2008;;35238;RENNES;HOMME;Mathieu;13
2008;;35238;RENNES;HOMME;Adrien;12
2008;;35238;RENNES;HOMME;Maxence;12
2008;;35238;RENNES;HOMME;Quentin;12
2008;;35238;RENNES;HOMME;Robin;12
2008;;35238;RENNES;HOMME;Samuel;12
2008;;35238;RENNES;HOMME;Aaron;11
2008;;35238;RENNES;HOMME;Nino;11
2008;;35238;RENNES;HOMME;Noam;11
2008;;35238;RENNES;HOMME;Pierre;11
2008;;35238;RENNES;HOMME;Antonin;10
2008;;35238;RENNES;HOMME;Camille;10
2008;;35238;RENNES;HOMME;Ewan;10
2008;;35238;RENNES;HOMME;Lilian;10
2008;;35238;RENNES;HOMME;Timothé;10
2008;;35238;RENNES;HOMME;Anatole;9
2008;;35238;RENNES;HOMME;Dorian;9
2008;;35238;RENNES;HOMME;Jean;9
2008;;35238;RENNES;HOMME;Joseph;9
2008;;35238;RENNES;HOMME;Mathys;9
2008;;35238;RENNES;HOMME;Nolann;9
2008;;35238;RENNES;HOMME;Yann;9
2008;;35238;RENNES;HOMME;Basile;8
2008;;35238;RENNES;HOMME;Eliot;8
2008;;35238;RENNES;HOMME;Emilien;8
2008;;35238;RENNES;HOMME;Julien;8
2008;;35238;RENNES;HOMME;Melvin;8
2008;;35238;RENNES;HOMME;Adam;7
2008;;35238;RENNES;HOMME;Bryan;7
2008;;35238;RENNES;HOMME;Dylan;7
2008;;35238;RENNES;HOMME;Evann;7
2008;;35238;RENNES;HOMME;Lorenzo;7
2008;;35238;RENNES;HOMME;Louka;7
2008;;35238;RENNES;HOMME;Marin;7
2008;;35238;RENNES;HOMME;Thibault;7
2008;;35238;RENNES;HOMME;Yannis;7
2008;;35238;RENNES;HOMME;Alban;6
2008;;35238;RENNES;HOMME;David;6
2008;;35238;RENNES;HOMME;Davon;6
2008;;35238;RENNES;HOMME;Elias;6
2008;;35238;RENNES;HOMME;Grégoire;6
2008;;35238;RENNES;HOMME;Johann;6
2008;;35238;RENNES;HOMME;Kenzo;6
2008;;35238;RENNES;HOMME;Marceau;6
2008;;35238;RENNES;HOMME;Melvyn;6
2008;;35238;RENNES;HOMME;Milan;6
2008;;35238;RENNES;HOMME;Owen;6
2008;;35238;RENNES;HOMME;Rafaël;6
2008;;35238;RENNES;HOMME;Rayan;6
2008;;35238;RENNES;HOMME;Roman;6
2008;;35238;RENNES;HOMME;Timothée;6
